source,brand,description,original_price,final_price
babymarkt,STOKKE,Tripp Trapp® Hochstuhl Buche Soft Mint inkl. Newborn Set™  Grey,308.0,308.0
babymarkt,Bumbo,Sitzerhöhung Hemlock Green Floor Seat,69.99,69.99
babymarkt,Peg Perego,Hochstuhl Tatamia Follow Me Latte Lederimitat,299.0,299.0
babymarkt,Britax Römer,"Kinderwagen Smile III Frost Grey, brown",599.0,599.0
babymarkt,cybex GOLD,Kindersitz Pallas G i-Size Navy Blue,299.95,299.95
babymarkt,Luma,Babycare Bade- und Pflegeset Sage Green,119.99,119.99
babymarkt,PHILIPS AVENT,Starterset für Neugeborenen SCD301/01 Naturnah 2.0,39.99,39.99
babymarkt,STOKKE,Tripp Trapp® Hochstuhl Buche Storm inkl. Newborn Set™ Grey,308.0,308.0
babymarkt,Zapf,Creation Baby Annabell® Annabell 43 cm,69.99,69.99
babymarkt,Staccato,Schneeanzug tinte Alloverprint,59.99,59.99
babymarkt,roba,Treppenhochstuhl Move natur + Sitzkissen,139.9,139.9
babymarkt,roba,Treppenhochstuhl Born Up Set 2 in 1 Little Stars,189.9,189.9
babymarkt,Kinderkraft,Hochstuhl Sienna Pink,79.0,79.0
babymarkt,Chic 4 Baby,Hochstuhl ANUK Bubbles,119.0,119.0
babymarkt,STOKKE,Tripp Trapp® Hochstuhl Buche Serene Pink inkl. Newborn Set™  Grey,308.0,308.0
babymarkt,STOKKE,Tripp Trapp® Hochstuhl Oak schwarz inkl. Newborn Set™ Grey,348.0,348.0
babymarkt,STOKKE,Tripp Trapp® Hochstuhl inkl. Baby Set Buche walnussbraun,258.0,258.0
babymarkt,STOKKE,Tripp Trapp® Hochstuhl Buche Moss Green,209.0,209.0
babymarkt,Peg Perego,Hochstuhl Tatamia Follow Me Fragola Lederimitat,299.0,299.0
babymarkt,Lionelo,Hochstuhl Linn Plus Beige,69.99,69.99
babymarkt,Peg Perego,Hochstuhl Prima Pappa Follow Me Hightech-Licorice Lederimitat,189.0,189.0
babymarkt,Geuther,Hochstuhl Syt mint,159.0,159.0
babymarkt,Fillikid,Hochstuhl Paul mit Holzbeinen Sterne Grau,109.9,109.9
babymarkt,Safety 1st,Hochstuhl Looky Warm Grey,89.9,89.9
